section,exercise_number,mode,exercise_text,graphic,a-C++,b-C++,c-C++,d-C++,e-C++,f-C++,a-C,b-C,c-C,d-C,e-C,f-C,a-Pascal,b-Pascal,c-Pascal,d-Pascal,e-Pascal,f-Pascal,answer,solution
Varianta 1,1.1.,Dual,"Variabila a este de tip real. Pentru a verifica dacă valoarea variabilei a aparține mulțimii $[-3,2] \mathrm{U}{3,5,9}$ se va utiliza următoarea expresie:",N/A,!((a<-3) || (a>2)) || (a==3) || (a==5) || (a==9),(a>=-3)&&(a<=2)&&(a==3) || (a==5) || (a==9),(a>-3) && (a<2) || (a==3) || (a==5) || (a==9),(a<-3)||(a>2) && (a==3) && (a==5) && (a==9),(a>=-3)||((a<=2)&&(a==3)) || (a==5) || (a==9),(a>=-3) || !((a>2)) || (a==3)) || (a==5) || (a==9),!((a<-3) || (a>2)) || (a==3) || (a==5) || (a==9),(a>=-3)&&(a<=2)&&(a==3) || (a==5) || (a==9),(a>-3) && (a<2) || (a==3) || (a==5) || (a==9),(a<-3)||(a>2) && (a==3) && (a==5) && (a==9),(a>=-3)||((a<=2)&&(a==3)) || (a==5) || (a==9),(a>=-3) || !((a>2)) || (a==3)) || (a==5) || (a==9),not ((a<-3) or (a>2)) or (a=3) or (a=5) or (a=9),(a>=-3) and (a<=2) and (a=3) or (a=5) or (a=9),(a>-3) and (a<2) or (a=3) or (a=5) or (a=9),(a<-3) or (a>2) and (a=3) and (a=5) and (a=9),(a>=-3) or ((a<=2) and (a=3)) or (a=5) or (a=9),(a>=-3) or not((a>2)) or (a=3)) or (a=5) or (a=9),a,"Răspuns corect: a) $not ((a<-3) or (a>2)) or (a=3) or (a=5) or (a=9)$ (Pascal), respectiv $!((a<=3) || (a>2)) || (a==3) || (a==5) || (a==9)$ (C/C++)\\
Indicații: Valoarea lui $a$ trebuie să fie mai mare sau egală cu -3 și mai mică sau egală decât 2 sau egală cu 3 sau egală cu 5 sau egală cu 9.\\"
Varianta 1,1.2.,Single,"Precizați cu ce expresie trebuie înlocuite punctele de suspensie, astfel încât în urma executării secvenței alăturate, să se deplaseze elementele $\mathbf{x}_{\mathbf{p}}, \mathbf{x}_{\mathbf{p}+\mathbf{1}}, \ldots, \mathbf{x}_{\mathbf{k}}$ ale unui tablou unidimensional $\mathbf{x}, \mathbf{c u} \mathbf{q - 1}$ poziții spre dreapta.
\begin{verbatim}
Limbajul C++/ Limbajul C
for (j=k; j>=p; j--)
    x[...]=x[j];
Limbajul Pascal
for j:= k downto p do
    x[...]:=x[j];
\end{verbatim}",N/A,$q-1-j$,$j-q+1$,$q-1+j$,$q-2+j$,$q-j+1$,$j+q-3$,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,c,Răspuns corect: c) $q-1+j$\\
Varianta 1,1.3.,Single,"Precizați ce se va afișa după executarea secvenței de program de mai jos.
\begin{verbatim}
Limbajul C++/ Limbajul C
char a[20]=""informatica"", b[20]="""";
strncat(b,a,strlen(strchr(a,'t')));
cout<<b; | printf(""% s"", b);
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
var b : string[20];
begin b:='informatica';
delete(b, pos('r', b) , pos ('a', b); 
write (b) ;
end.
\end{verbatim}",N/A,tica,form,ica,inf,rmatica,info,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,Răspuns corect: f) info\\
Varianta 1,1.4.,Dual,"Precizați care dintre următoarele secvențe calculează suma elementelor de pe linia $\mathbf{p}$, ale unui tablou bidimensional $\mathbf{x}$, cu $\mathbf{m}$ linii și $\mathbf{n}$ coloane (numerotate de la $\mathbf{1}$ la $\mathbf{m}$, respectiv de la 1 la $\mathbf{n}$ )",N/A,"\begin{verbatim}
s=0;
for (i=m; i>=1; i--)
    s=s+x[p][i];
\end{verbatim}","\begin{verbatim}
s=0; i=1;
while(i<=m)
{ s=s+x[i][p];
        i++;}
\end{verbatim}","\begin{verbatim}
s=0;
for(i=n; i>=1; i--)
    s=s+x[i][p];
\end{verbatim}","\begin{verbatim}
s=0; i=1;
while(i<=n)
    {s=s+x[p][i];
            i++;}
\end{verbatim}","\begin{verbatim}
s=0;
for (i=m; i>1; i--)
    s=s+x[p][i];
\end{verbatim}","\begin{verbatim}
s=0;
for(i=m; i>=1; i--)
    s=s+x[i][p];
\end{verbatim}","\begin{verbatim}
s=0;
for (i=m; i>=1; i--)
    s=s+x[p][i];
\end{verbatim}","\begin{verbatim}
s=0; i=1;
while(i<=m)
{ s=s+x[i][p];
        i++;}
\end{verbatim}","\begin{verbatim}
s=0;
for(i=n; i>=1; i--)
    s=s+x[i][p];
\end{verbatim}","\begin{verbatim}
s=0; i=1;
while(i<=n)
    {s=s+x[p][i];
            i++;}
\end{verbatim}","\begin{verbatim}
s=0;
for (i=m; i>1; i--)
    s=s+x[p][i];
\end{verbatim}","\begin{verbatim}
s=0;
for(i=m; i>=1; i--)
    s=s+x[i][p];
\end{verbatim}","\begin{verbatim}
s:=0;
for i:=m downto 1 do
  s:=s+x[p, i];
\end{verbatim}","\begin{verbatim}
s:=0; i:=1;
while i<=m do
  begin
    s:=s+x[i, p];
    i:=i+1;
  end;
\end{verbatim}","\begin{verbatim}
s:=0;
for i:=n downto 1 do
  s:=s+x[i, p];
\end{verbatim}","\begin{verbatim}
s:=0; i:=1;
while i<=n do
  begin
    s:=s+x[p,i];
    i:=i+1;
  end;
\end{verbatim}","\begin{verbatim}
s:=0;
for i:=m downto 2 do
s:=s+x[p,i];
\end{verbatim}","\begin{verbatim}
s:=0;
for i:=m downto 1 do
s:=s+x[i, p];
\end{verbatim}",d,"Răspuns corect: d) \\
Limbajul C++/Limbajul C
\begin{verbatim}
s=0; i=1;
while(i<=n)
{
    s=s+x[p][i];
    i++;
}
\end{verbatim}
Limbajul Pascal
\begin{verbatim}
s:=0; i:=1;
while i<=n do
begin
    s:=s+x[p,i];
    i:=i+1;
end;
\end{verbatim}
Indicații: Fiind vorba de suma elementelor pe linia p, primul indice al elementului din tabloul bidimensional trebuie să fie p. Având n coloane în matrice, cel de-al doilea indice al elementutlui din matrice trebuie să parcurgă toate valorile de la 1 la n.\\"
Varianta 1,1.5.,Single,"Fie graful orientat cu 5 noduri numerotate de la 1 la 5 , și arcele $(1,2),(2,3),(3,1),(3,4)$, $(4,5),(5,4)$. Precizați care este matricea drumurilor asociată acestui graf. Matricea drumurilor este o matrice pătratică de dimensiune nxn, definită astfel:
Limbajul C++/ Limbajul C
\begin{verbatim}
- a[i][j]=1 dacă există cel puțin un drum de la nodul i la nodul j
- a[i][j]=0 dacă nu există niciun drum de la nodul i la nodul j
\end{verbatim}
Limbajul Pascal
\begin{verbatim}
- a[i, j]=1 dacă există cel puțin un drum de la nodul i la nodul j
- a[i, j]=0 dacă nu există niciun drum de la nodul i la nodul $j$
\end{verbatim}",N/A,"\begin{verbatim}
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
0 0 0 1 1
0 0 0 1 1
\end{verbatim}","\begin{verbatim}
0 1 1 1 1
1 0 1 1 1
1 1 0 1 1
0 0 0 0 1
0 0 0 1 0
\end{verbatim}","\begin{verbatim}
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
0 0 1 1 1
0 0 0 1 1
\end{verbatim}","\begin{verbatim}
0 1 0 0 0
0 0 1 0 0
1 0 0 1 0
0 0 0 0 1
0 0 0 1 0
\end{verbatim}","\begin{verbatim}
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 0 0 1 1
0 1 0 1 1
\end{verbatim}","\begin{verbatim}
1 1 0 0 0
0 0 1 0 0
1 0 0 1 1
0 1 0 0 1
1 0 0 1 0
\end{verbatim}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a,"Răspuns corect: a) \\
\begin{verbatim}
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
0 0 0 1 1
0 0 0 1 1
\end{verbatim}
\begin{center} \includegraphics[width=0.4\linewidth]{images/2025_04_17_46e04c6acd873ea9558dg-251.jpg} \end{center}
Indicații: Se observă cu ajutorul desenului de mai sus, că de la nodurile 4 și 5 nu există niciun drum la nodurile 1, 2 și 3. Deci în matrice doar elementele $\mathrm{a}_{41}$, $\mathrm{a}_{42}$, $\mathrm{a}_{43}$, $\mathrm{a}_{51}$, $\mathrm{a}_{52}$ și $\mathrm{a}_{53}$ vor avea valoarea 0 restul elementelor din matrice având valoarea 1.\\"
Varianta 1,1.6.,Single,"Utilizând metoda backtracking se generează elementele produsului cartezian a n mulțimi: $\mathbf{A}_{1}, \mathbf{A}_{2}, \ldots, \mathbf{A n}_{\mathbf{n}}$. Utilizând acest algoritm pentru a genera elementele produsului cartezian a 3 mulțimi: $\mathbf{A}_{\mathbf{1}}={1,2,3}, \mathbf{A}_{2}={1,2}$ și $\mathbf{A}_{3}={1,2,3,4}$ atunci, precizați care din următoarele secvențe nu reprezintă o soluție a acestui algoritm, pentru produsul $\mathbf{A}_{3} \times \mathbf{A}_{2} \times \mathbf{A}_{1}$.",N/A,"$(4,2,3)$","$(3,3,3)$","$(3,2,1)$","$(1,1,1)$","$(4,1,2)$","$(3,1,3)$",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b,"Răspuns corect: b) $(3,3,3)$\\
Indicații: Mulțimea $\mathbf{A}_{\mathbf{2}}$ nu conține elementul 3, deci în produsul cartezian a celor 3 mulțimi nu putem avea ca soluție $(3,3,3)$.\\"
Varianta 1,1.7.,Dual,"Fie funcția $p$ definită mai jos
\begin{verbatim}
Limbajul C++/ Limbajul C
int p (int a, int b)
{if (b==0) return 0;
    else
      if (a%b==0) return p(a, b-1)+1;
            else return p(a, b-1);}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
function p (a, b: integer) : integer;
begin
if b=0 then p:=0
else
    if a mod b=0 then p:=p(a, b-1)+1
        else p:=p(a, b-1);
end;
\end{verbatim}
precizați care este apelul corect al funcției $\mathbf{p}$ pentru a verifica dacă un număr $\mathbf{x}$ este prim.",N/A,"if (p(x, x)==2) cout<<""prim""; | printf(""prim"");","if (p(2, x)==2) cout<<""prim""; | printf(""prim"");","if (p(x, 2)==0) cout<<""prim""; | printf(""prim"");","if (p(x, x / 2)==2) cout<<""prim""; | printf(""prim"");","if (p(x, 2)==x) cout<<""prim""; | printf(""prim"");","if (p(2, x)==1) cout<<""prim""; | printf(""prim"");","if (p(x, x)==2) cout<<""prim""; | printf(""prim"");","if (p(2, x)==2) cout<<""prim""; | printf(""prim"");","if (p(x, 2)==0) cout<<""prim""; | printf(""prim"");","if (p(x, x / 2)==2) cout<<""prim""; | printf(""prim"");","if (p(x, 2)==x) cout<<""prim""; | printf(""prim"");","if (p(2, x)==1) cout<<""prim""; | printf(""prim"");","if p(x, x)=2 then write('prim');","if p(2, x)=2 then write('prim');","if p(x, 2)=0 then write ('prim');","if p(x, x div 2)=2 then write('prim');","if p(x, 2)=x then write('prim');","if p(2, x)=1 then write('prim');",a,"Răspuns corect: a) \\
\begin{verbatim}
Limbajul C++/Limbajul C
if (p(x,x)==2) cout<<""prim""; | printf(""prim"");
Limbajul Pascal
if p(x, x)=2 then write('prim');
\end{verbatim}
Indicații: Funcția calculează numărul de divizori al lui a care sunt mai mici sau egali cu b.\\"
Varianta 1,1.8.,Single,Un arbore are nodurile numerotate cu numere de la 1 la 5 . Vectorul de tați asociat arborelui poate fi:,N/A,"$5,4,2,1,3$","$2,1,0,3,4$","$5,2,4,5,0$","$2,4,0,3,4$","$0,2,4,5,0$","$1,4,0,3,4$",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d,"Răspuns corect: d) $2,4,0,3,4$\\"
Varianta 1,1.9.,Single,"Se consideră subprogramul $\mathbf{t}$ având definiția următoare:
\begin{verbatim}
Limbajul C++
void t(int &x, int y)
{ x=x-1; y=x+1;
    cout<<x<<<y;
}
Limbajul C
void t(int *x, int y)
{ *x=*x-1; y=*x+1;
    printf(""%d%d"",*x,y);
}
Limbajul Pascal
procedure t(var x: integer; y: integer);
begin
    x:=x-1; y:=x+1;
    write(x, y);
end;
\end{verbatim}
Dacă inițial $x=3$ și $y=7$, precizați ce se va afișa în urma executării secvenței de instrucțiuni:
\begin{verbatim}
Limbajul C++
t(y,y);
cout<<x<<<y;
t(y,x);
\end{verbatim}
\begin{verbatim}
Limbajul C
t(&y,y);
printf( ""%d%d"",x,y);
t(&y,x);
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
t(y,y);
write(x,y);
t(y,x);
\end{verbatim}",N/A,673556,676767,673767,768978,656376,673656,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,"Răspuns corect: f) 673656\\
Indicații: În urma apelului $\mathbf{t}(7,7)$, $\mathrm{x}=7-1=6$, $\mathrm{y}=6+1=7$, deci se afișează 67, iar la ieșirea din funcție $\mathbf{y}$ va avea valoarea 6 datorită primului parametru al funcției transmis prin adresă, iar $\mathbf{x}$ va avea valoarea 3. Se va afișa $\mathbf{x}$ și $\mathbf{y}$, adică 3 și 6. În urma apelului $\mathbf{t}(6,3)$, $\mathbf{x}=6-1=5$, $y=5+1=6$, se va afișa 56.\\"
Varianta 1,1.10.,Dual,"Funcția par cu parametrii de tip întreg a și b determină numărul de valori pare din intervalul [ $\mathbf{a}, \mathbf{b}$ ], ( $\mathbf{a}<\mathbf{b}$ ). Precizați care din următoarele expresii este adevărată, pentru orice numere a și $\mathbf{b}$ care nu au aceeași paritate.",N/A,"par(a, b) == b-a","par(a, b) == (b-a-1)/2","par(a, b) == (b-a+1)/2","par(a, b) == par(a, b +1)","par(a,b) == (b-a)/2","par(a, b) == par(a+1, b)","par(a, b) == b-a","par(a, b) == (b-a-1)/2","par(a, b) == (b-a+1)/2","par(a, b) == par(a, b +1)","par(a,b) == (b-a)/2","par(a, b) == par(a+1, b)","par(a, b)=b-a","par(a, b)=(b-a-1) DIV 2","par(a, b)=(b-a+1) DIV 2","par(a, b)=par(a, b+1)","par(a, b)=(b-a) DIV 2","par(a, b)=par(a+1, b)",c,"Răspuns corect: c) \\
\begin{verbatim}
Limbajul C++/Limbajul C
par(a, b)==(b-a+1) / 2
Limbajul Pascal
par(a, b)=(b-a+1) DIV 2
\end{verbatim}
Indicații: Pentru verificarea expresiilor, se pot folosi perechi de valori cu aceeași paritate sau de parități diferite.\\"
